#candidate_src	#candidate_tgt	#sentence
		Government transparency enables the public to hold the government accountable for how they spend their money.
		Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.
	leader/senate	"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year."
		President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains.
ocean/island	poverty	WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR
flood	gun	flood of guns
flood	gun	We have not found a way to stem this rising flood of gun violence.
	gun	We are drowning in an ocean of gun violence.
		He started going down a bad life path.
	government	Fitch said in a report on Dec. 19 that it expected Congress to find a way to pull back from the “fiscal cliff,” but that it would not be “a credible plan to reduce the federal budget deficit and stabilize government debt over the medium term.”
		There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.
		That remark is completely impenetrable.
		Whatever Emily meant, it's likely to be locked up in that cryptic little verse forever.
	meaning	He writes sentences in such a way as to seal up the meaning in them.
win/victory	win	President Obama won a major victory in November.
rival/race	rival	In the Supervisors race, my candidate came out slightly ahead of his closest rival.
		The Tea Party candidate knocked out the mainline Republican candidate in the primary.
possess	part	The eye possesses several parts.
belong	part	Which car part belongs to which car?
contain		The book contains more than 150 recipes for cabbage.
hum	bureaucracy	Despite the debt crisis, the welfare bureaucracy continued to hum along, producing checks every month.
		Was it worth it?
		The human cost of that disaster is enormous.
		Things are looking up today!
speak	voter	The voters of Dillon have clearly spoken.
		It's out of my field of vision.
		The island is now in full view.
	grasp	He just can't seem to grasp the concept.
	get	He got a good handle on the subject matter.
follow	follow	I don't follow you.
so		This lecture will be fast-paced, so try to keep up!
		I haven't fully digested the main gist of that paper.
	crime	Crime is stalking the youth of our major cities.
	crime	gang crime ravages inner cities, destroys families, and causes whole neighborhoods to hunker down in fear
		He fell into a coma.
	trust	We are working hard to rebuild the trust of our customers.
foundation	trust	The scandals have shaken the foundations of trust in the market.
	trust	It is how, in every Western country, trust in government has suddenly, dramatically collapsed in the crisis' aftermath.
		My morning has been very full.
	day	We spent all day at the fair.
		Time-theft
	time	The flow of time
sand	day/life	Like sands through the hourglass, so are the days of our lives.
	time	Our time is valuable.
	time	We don't have much time.
	time	Time flies.
	time	The time will come when…
	time	The time has long since gone when…
	time	The time for action has arrived.
		That's all behind us now.
go	time	You can't go back in time!
	future	We're looking ahead to the future.
	future	He has a great future in front of him.
	time	Don't waste your time.
	think	I can barely hear myself think.
		He's an articulate thinker.
		She doesn't listen to her conscience.
		That sounds like a good idea.
see		For many weeks, I couldn't see how to solve the problem.
see	know	I see that the two lines must be equal, but I don't know how to prove it.
	idea	Let's toss some ideas around.
		We're making progress on defining what kind of house we are looking for.
		I can't read her mind.
		I misread his intentions.
		Her theory requires the reader to understand  many interconnected factors.
		Opponents tried to dismantle the theory piece by piece.
foundation		This theory has a solid foundation.
framework		The theoretical framework needs to be filled in with empirical data.
lose	control	The dummies were 2-to-1 in favor of the Arizona immigration law; the court gutted it. Only those dummies, not in a state of denial, understand that we the people have lost control of our government.
give	control	But meanwhile, you may not have noticed that our government gave away control of the Internet.
membership	tax	Taxes, after all, are dues that we pay for the privileges of membership in an organized society
